,Average Amount/transaction/day,Transaction_amount,Is declined,Total Number of declines/day,isForeignTransaction,isHighRiskCountry,Daily_chargeback_avg_amt,6_month_avg_chbk_amt,6-month_chbk_freq,isFradulent
0,100.0,3000.0,0,5,1,1,0,0.0,0,1
1,100.0,4300.0,0,5,1,1,0,0.0,0,1
2,185.5,4823.0,1,5,0,0,0,0.0,0,1
3,185.5,5008.5,1,8,0,0,0,0.0,0,1
4,500.0,26000.0,0,0,1,1,800,677.2,6,1
5,500.0,27000.0,0,0,1,1,800,677.2,6,1
6,262.5,11287.5,0,0,0,0,900,345.5,7,1
7,185.5,11130.0,1,20,0,0,0,0.0,0,1
8,185.5,6121.5,1,20,0,0,0,0.0,0,1
9,185.5,7049.0,1,20,0,0,0,0.0,0,1
10,166.788473,4836.865717000001,0,0,0,0,721,229.0,9,1
11,444.99701439999996,21804.85371,0,0,1,1,0,0.0,0,1
12,152.451565,4116.192255,0,0,1,1,865,375.0,8,1
13,36.91948763,2141.330283,0,5,1,1,0,0.0,0,1
14,806.1795426,23379.20674,0,0,0,0,816,811.0,5,1
15,257.0911668,10283.64667,0,4,1,0,0,0.0,0,1
16,601.4529708,24659.5718,0,7,0,0,0,0.0,0,1
17,222.5298151,12461.66965,0,9,1,0,0,0.0,0,1
18,231.06731780000004,12708.70248,0,0,0,0,986,650.0,8,1
19,675.5694754,39858.59905,0,9,1,0,0,0.0,0,1
20,242.1517429,10654.67669,0,0,1,1,0,0.0,0,1
21,804.7617661,42652.3736,0,0,0,0,953,950.0,8,1
22,432.03025180000003,22033.542840000002,0,8,1,1,0,0.0,0,1
23,356.81226319999996,16056.55184,0,9,1,1,0,0.0,0,1
24,456.2831178,15057.34289,0,0,1,1,0,0.0,0,1
25,780.6884980000001,36692.359410000005,0,0,1,0,896,839.0,6,1
26,947.4890276000001,44531.9843,0,7,1,0,0,0.0,0,1
27,172.51576719999997,5002.957249,0,9,1,1,0,0.0,0,1
28,111.37507109999999,5680.128626,0,2,1,0,0,0.0,0,1
29,679.9403346,38076.65874,0,0,1,1,0,0.0,0,1
30,476.86458650000003,26704.41684,0,3,1,0,0,0.0,0,1
31,563.0545480000001,23085.23647,0,2,1,0,0,0.0,0,1
32,205.8614188,11528.23945,0,0,1,0,0,0.0,0,1
33,998.3440744,26955.29001,0,0,1,1,701,585.0,8,1
34,724.0674699,43444.048189999994,0,0,0,0,877,814.0,7,1
35,85.54822336,3165.284264,0,0,0,0,454,230.0,7,1
36,253.6174611,9891.080983,0,2,1,1,0,0.0,0,1
37,18.66793542,784.0532876,0,0,1,0,973,469.0,8,1
38,345.2290256,13118.70297,0,0,1,0,970,758.0,3,1
39,66.77655374,2804.615257,0,5,0,0,993,954.0,2,1
40,434.5973006,13472.516319999999,0,7,1,1,0,0.0,0,1
41,53.18771869,2553.0104969999998,0,6,1,0,0,0.0,0,1
42,680.8050065,33359.44532,0,8,1,0,0,0.0,0,1
43,480.72170250000005,17305.98129,0,7,1,1,0,0.0,0,1
44,644.2848716,19972.831019999998,0,0,0,0,967,226.0,9,1
45,723.1415323,22417.3875,0,5,1,0,0,0.0,0,1
46,879.4463781999999,40454.5334,0,8,1,0,0,0.0,0,1
47,519.6687893000001,22345.75794,0,4,1,0,0,0.0,0,1
48,360.1675018,20169.3801,0,0,0,0,923,542.0,7,1
49,199.1953372,11752.52489,0,7,1,0,0,0.0,0,1
50,741.7709921000001,37830.3206,0,0,0,0,589,499.0,8,1
51,293.785663,14395.49749,0,0,1,0,0,0.0,0,1
52,464.2802182,21356.890040000002,0,5,1,0,0,0.0,0,1
53,48.43831932,2664.107563,0,8,1,0,0,0.0,0,1
54,885.2821332000001,53116.92799,0,9,1,0,888,739.0,8,1
55,532.2414183,15435.00113,0,6,1,1,0,0.0,0,1
56,578.1520606,32376.515389999997,0,7,0,0,0,0.0,0,1
57,780.3223403,39016.11702,0,5,1,1,0,0.0,0,1
58,282.8443803,15556.44092,0,7,0,0,0,0.0,0,1
59,464.1466817,15780.987180000002,0,0,1,0,0,0.0,0,1
60,411.7532238,22234.67409,0,0,0,0,618,497.0,7,1
61,866.4786465,46789.84691,0,7,0,0,0,0.0,0,1
62,616.445728,15411.1432,0,4,1,1,381,284.0,5,1
63,837.1891049999999,43533.83346,0,0,1,1,0,0.0,0,1
64,276.825748,8581.598188,0,0,1,0,0,0.0,0,1
65,10.66365782,458.5372863,0,8,1,1,0,0.0,0,1
66,327.2204773,16688.24434,0,9,0,0,0,0.0,0,1
67,810.4856122,20262.14031,0,5,1,1,0,0.0,0,1
68,474.0885428,16593.099,0,2,1,1,0,0.0,0,1
69,444.9309256,21801.61535,0,0,1,0,0,0.0,0,1
70,933.1631705,28928.058289999997,0,5,1,0,0,0.0,0,1
71,808.2022141,46067.5262,0,0,1,1,0,0.0,0,1
72,968.6067798,52304.766110000004,0,4,1,0,0,0.0,0,1
73,208.04808269999998,7489.730976999999,0,9,1,1,0,0.0,0,1
74,499.6241664,18985.71832,0,0,1,1,0,0.0,0,1
75,570.627572,26819.495880000002,0,9,0,0,0,0.0,0,1
76,681.5690311000001,31352.175430000003,0,0,1,1,0,0.0,0,1
77,248.4369944,7204.6728379999995,0,5,1,1,0,0.0,0,1
78,539.2368026,25883.36652,0,0,1,0,964,890.0,6,1
79,580.9745696,28467.753910000003,0,5,1,1,0,0.0,0,1
80,336.182123,17817.65252,0,0,1,1,0,0.0,0,1
81,656.2025117000001,37403.54317,0,5,1,1,0,0.0,0,1
82,393.7053746,11811.161240000001,0,3,1,1,0,0.0,0,1
83,603.3792276,30772.340610000003,0,0,1,0,0,0.0,0,1
84,308.0830989,17868.81974,0,7,0,0,0,0.0,0,1
85,886.8957370999999,44344.78686,0,9,1,1,0,0.0,0,1
86,335.83707610000005,13097.64597,0,0,1,1,0,0.0,0,1
87,610.5646704,29307.104180000002,0,9,1,0,995,846.0,4,1
88,52.50319147,1365.082978,0,8,1,1,0,0.0,0,1
89,572.3188104,25754.34647,0,0,1,0,0,0.0,0,1
90,769.7753903,44646.97264,0,8,0,0,959,386.0,3,1
91,570.5826102000001,18829.22614,0,8,0,0,0,0.0,0,1
92,80.53627851,2335.552077,0,0,1,1,593,413.0,8,1
93,483.9256352,26131.9843,0,7,1,1,0,0.0,0,1
94,268.5412251,8593.319203000001,0,6,0,0,931,889.0,3,1
95,787.7379607,32297.25639,0,3,1,1,0,0.0,0,1
96,263.4127903,9746.273240999999,0,0,1,0,739,182.0,8,1
97,921.0639299000001,46974.26042,0,8,1,1,0,0.0,0,1
98,733.4911774,35941.067689999996,0,0,1,1,0,0.0,0,1
99,510.41857080000005,22968.83569,0,0,1,1,0,0.0,0,1
100,9.134958761,429.3430618,0,8,0,0,0,0.0,0,1
101,29.16618193,904.1516398,0,7,1,1,0,0.0,0,1
102,971.9442274,24298.60569,0,3,1,1,0,0.0,0,1
103,616.3847055,19724.31058,0,7,1,1,0,0.0,0,1
104,418.34977000000003,21754.18804,0,0,1,1,0,0.0,0,1
105,912.5499676000001,37414.54867,0,2,1,1,0,0.0,0,1
106,110.53641529999999,3868.774536,0,0,1,1,0,0.0,0,1
107,70.55375568,2187.1664260000002,0,7,0,0,0,0.0,0,1
108,730.7886618,41654.95372,0,8,0,0,931,415.0,9,1
109,581.9333833,33170.20285,0,0,1,1,0,0.0,0,1
110,502.49510989999993,24119.76528,0,0,1,0,0,0.0,0,1
111,317.7292099,14297.81445,0,7,0,0,0,0.0,0,1
112,428.1894204,25263.1758,0,7,0,0,0,0.0,0,1
113,86.35227213,2935.977252,0,0,0,0,993,992.0,7,1
114,58.50421659,1521.109631,0,5,1,1,0,0.0,0,1
115,67.75952614,3455.7358329999997,0,7,1,0,0,0.0,0,1
116,429.82076409999996,18912.11362,0,0,1,0,0,0.0,0,1
117,979.4752417000001,46035.33636,0,0,0,0,475,244.0,4,1
118,924.9840806,39774.31547,0,7,0,0,0,0.0,0,1
119,705.352783,27508.75854,0,9,1,0,0,0.0,0,1
120,664.4396972999999,31228.66577,0,0,1,0,0,0.0,0,1
121,444.8008156,16457.63018,0,0,1,1,0,0.0,0,1
122,224.47339680000005,6060.781714,0,0,1,0,0,0.0,0,1
123,658.1175211,39487.051269999996,0,8,1,1,0,0.0,0,1
124,926.0312574,41671.40658,0,5,1,1,0,0.0,0,1
125,398.5830073,11160.3242,0,7,0,0,982,350.0,1,1
126,270.2719797,16216.318780000001,0,0,0,0,991,914.0,7,1
127,281.60093439999997,14924.849519999998,0,0,1,1,0,0.0,0,1
128,25.94673767,778.4021301,0,3,1,1,0,0.0,0,1
129,892.0737616,50848.204410000006,0,0,1,0,0,0.0,0,1
130,337.1910142,11127.30347,0,0,1,1,0,0.0,0,1
131,359.91140210000003,15476.19029,0,6,1,0,0,0.0,0,1
132,550.9807562999999,32507.86462,0,0,0,0,707,571.0,7,1
133,429.5809401000001,14605.75196,0,9,1,1,0,0.0,0,1
134,619.23554,29723.30592,0,9,1,1,0,0.0,0,1
135,66.89089521,3143.872075,0,4,1,1,0,0.0,0,1
136,720.1632812999999,25925.87813,0,0,1,1,0,0.0,0,1
137,787.7381474,44113.33625,0,2,1,1,0,0.0,0,1
138,815.8508538,35081.58671,0,8,1,0,0,0.0,0,1
139,814.4750536,47239.55311,0,9,0,0,0,0.0,0,1
140,707.2405587999999,33240.306260000005,0,9,1,0,0,0.0,0,1
141,383.3426919,14950.36498,0,2,1,1,0,0.0,0,1
142,487.64952310000007,14141.836169999999,0,8,0,0,0,0.0,0,1
143,148.60991840000003,3715.24796,0,0,0,0,916,704.0,9,1
144,307.41550750000005,14448.52885,0,0,1,1,0,0.0,0,1
145,987.0255318,50338.30212,0,2,1,1,0,0.0,0,1
146,744.816824,29047.856139999996,0,7,0,0,0,0.0,0,1
147,679.3220446,40080.00063,0,3,1,1,0,0.0,0,1
148,31.25395942,1187.650458,0,8,0,0,0,0.0,0,1
149,978.6914320000001,25445.97723,0,9,0,0,0,0.0,0,1
150,256.18957819999997,9479.014393000001,0,8,1,0,0,0.0,0,1
151,36.55582934,1571.900662,0,0,1,1,0,0.0,0,1
152,865.809278,36363.98968,0,0,1,0,0,0.0,0,1
153,28.36943391,1163.14679,0,9,1,1,0,0.0,0,1
154,766.5603656000001,42160.82011,0,0,0,0,577,367.0,7,1
155,860.6974012000001,51641.84407,0,0,1,1,667,548.0,7,1
156,436.30978960000004,20506.56011,0,8,0,0,695,228.0,9,1
157,128.0026311,7424.152604000001,0,7,0,0,0,0.0,0,1
158,315.7326582,14523.702280000001,0,0,1,1,0,0.0,0,1
159,110.1401282,6498.267564,0,7,0,0,0,0.0,0,1
160,259.35690409999995,9855.562356,0,9,1,1,0,0.0,0,1
161,253.8673429,13201.10183,0,7,1,0,0,0.0,0,1
162,334.15303789999996,18378.417080000003,0,0,0,0,735,608.0,7,1
163,507.06780599999996,22310.98346,0,9,0,0,0,0.0,0,1
164,396.6188071,11105.3266,0,8,1,1,0,0.0,0,1
165,274.97367119999996,14298.6309,0,4,1,1,0,0.0,0,1
166,630.3932778,34041.237,0,0,1,1,0,0.0,0,1
167,491.25651610000006,28492.877930000002,0,8,1,1,0,0.0,0,1
168,971.6299870999999,56354.53925,0,5,1,1,0,0.0,0,1
169,366.1841195,17943.02186,0,7,1,1,0,0.0,0,1
170,54.41576965,2285.462325,0,0,1,1,0,0.0,0,1
171,719.8422034,37431.79458,0,2,1,1,0,0.0,0,1
172,832.603207,33304.128280000004,0,0,1,1,0,0.0,0,1
173,753.8463192,37692.31596,0,6,1,0,0,0.0,0,1
174,658.3438677999999,35550.56886,0,8,1,0,0,0.0,0,1
175,880.0117675,29920.4001,0,6,1,0,0,0.0,0,1
176,735.2684285,18381.71071,0,0,1,0,835,715.0,7,1
177,711.0605246,17776.51312,0,8,1,0,0,0.0,0,1
178,592.3582367,14808.955919999999,0,4,1,1,0,0.0,0,1
179,7.4091431839999995,274.13829780000003,0,3,1,1,0,0.0,0,1
180,147.1329946,7503.782725,0,6,0,0,901,524.0,8,1
181,121.92311880000001,4755.001633,0,4,1,0,0,0.0,0,1
182,943.4032124,45283.3542,0,3,1,1,0,0.0,0,1
183,644.0231767000001,37997.36743,0,7,1,1,0,0.0,0,1
184,531.3669609,21786.0454,0,9,0,0,0,0.0,0,1
185,981.1519167000001,48076.44392,0,0,0,0,955,816.0,8,1
186,204.3112252,5516.40308,0,6,0,0,900,300.0,4,1
187,510.10068039999993,16833.32245,0,9,0,0,0,0.0,0,1
188,640.0741242,37124.2992,0,9,1,1,0,0.0,0,1
189,404.716752,23473.57162,0,0,1,0,0,0.0,0,1
190,883.3452073999999,34450.46309,0,0,1,1,0,0.0,0,1
