,transaction_amount,is_declined,total_number_declines_per_day,is_foreign_transaction,is_high_risk_country,daily_chargeback_avg_amt,6_month_avg_chbk_amt,6-month_chbk_freq,is_fraudulent
0,3000.0,0,5,1,1,0,0.0,0,1
1,4300.0,0,5,1,1,0,0.0,0,1
2,4823.0,1,5,0,0,0,0.0,0,1
3,5008.5,1,8,0,0,0,0.0,0,1
4,26000.0,0,0,1,1,800,677.2,6,1
5,27000.0,0,0,1,1,800,677.2,6,1
6,11287.5,0,0,0,0,900,345.5,7,1
7,11130.0,1,20,0,0,0,0.0,0,1
8,6121.5,1,20,0,0,0,0.0,0,1
9,7049.0,1,20,0,0,0,0.0,0,1
10,4836.865717,0,0,0,0,721,229.0,9,1
11,21804.85371,0,0,1,1,0,0.0,0,1
12,4116.192255,0,0,1,1,865,375.0,8,1
13,2141.330283,0,5,1,1,0,0.0,0,1
14,23379.20674,0,0,0,0,816,811.0,5,1
15,10283.64667,0,4,1,0,0,0.0,0,1
16,24659.5718,0,7,0,0,0,0.0,0,1
17,12461.66965,0,9,1,0,0,0.0,0,1
18,12708.70248,0,0,0,0,986,650.0,8,1
19,39858.59905,0,9,1,0,0,0.0,0,1
20,10654.67669,0,0,1,1,0,0.0,0,1
21,42652.3736,0,0,0,0,953,950.0,8,1
22,22033.54284,0,8,1,1,0,0.0,0,1
23,16056.55184,0,9,1,1,0,0.0,0,1
24,15057.34289,0,0,1,1,0,0.0,0,1
25,36692.35941,0,0,1,0,896,839.0,6,1
26,44531.9843,0,7,1,0,0,0.0,0,1
27,5002.957249,0,9,1,1,0,0.0,0,1
28,5680.128626,0,2,1,0,0,0.0,0,1
29,38076.65874,0,0,1,1,0,0.0,0,1
30,26704.41684,0,3,1,0,0,0.0,0,1
31,23085.23647,0,2,1,0,0,0.0,0,1
32,11528.23945,0,0,1,0,0,0.0,0,1
33,26955.29001,0,0,1,1,701,585.0,8,1
34,43444.04819,0,0,0,0,877,814.0,7,1
35,3165.284264,0,0,0,0,454,230.0,7,1
36,9891.080983,0,2,1,1,0,0.0,0,1
37,784.0532876,0,0,1,0,973,469.0,8,1
38,13118.70297,0,0,1,0,970,758.0,3,1
39,2804.615257,0,5,0,0,993,954.0,2,1
40,13472.51632,0,7,1,1,0,0.0,0,1
41,2553.010497,0,6,1,0,0,0.0,0,1
42,33359.44532,0,8,1,0,0,0.0,0,1
43,17305.98129,0,7,1,1,0,0.0,0,1
44,19972.83102,0,0,0,0,967,226.0,9,1
45,22417.3875,0,5,1,0,0,0.0,0,1
46,40454.5334,0,8,1,0,0,0.0,0,1
47,22345.75794,0,4,1,0,0,0.0,0,1
48,20169.3801,0,0,0,0,923,542.0,7,1
49,11752.52489,0,7,1,0,0,0.0,0,1
50,37830.3206,0,0,0,0,589,499.0,8,1
51,14395.49749,0,0,1,0,0,0.0,0,1
52,21356.89004,0,5,1,0,0,0.0,0,1
53,2664.107563,0,8,1,0,0,0.0,0,1
54,53116.92799,0,9,1,0,888,739.0,8,1
55,15435.00113,0,6,1,1,0,0.0,0,1
56,32376.51539,0,7,0,0,0,0.0,0,1
57,39016.11702,0,5,1,1,0,0.0,0,1
58,15556.44092,0,7,0,0,0,0.0,0,1
59,15780.98718,0,0,1,0,0,0.0,0,1
60,22234.67409,0,0,0,0,618,497.0,7,1
61,46789.84691,0,7,0,0,0,0.0,0,1
62,15411.1432,0,4,1,1,381,284.0,5,1
63,43533.83346,0,0,1,1,0,0.0,0,1
64,8581.598188,0,0,1,0,0,0.0,0,1
65,458.5372863,0,8,1,1,0,0.0,0,1
66,16688.24434,0,9,0,0,0,0.0,0,1
67,20262.14031,0,5,1,1,0,0.0,0,1
68,16593.099,0,2,1,1,0,0.0,0,1
69,21801.61535,0,0,1,0,0,0.0,0,1
70,28928.05829,0,5,1,0,0,0.0,0,1
71,46067.5262,0,0,1,1,0,0.0,0,1
72,52304.76611,0,4,1,0,0,0.0,0,1
73,7489.730977,0,9,1,1,0,0.0,0,1
74,18985.71832,0,0,1,1,0,0.0,0,1
75,26819.49588,0,9,0,0,0,0.0,0,1
76,31352.17543,0,0,1,1,0,0.0,0,1
77,7204.672838,0,5,1,1,0,0.0,0,1
78,25883.36652,0,0,1,0,964,890.0,6,1
79,28467.75391,0,5,1,1,0,0.0,0,1
80,17817.65252,0,0,1,1,0,0.0,0,1
81,37403.54317,0,5,1,1,0,0.0,0,1
82,11811.16124,0,3,1,1,0,0.0,0,1
83,30772.34061,0,0,1,0,0,0.0,0,1
84,17868.81974,0,7,0,0,0,0.0,0,1
85,44344.78686,0,9,1,1,0,0.0,0,1
86,13097.64597,0,0,1,1,0,0.0,0,1
87,29307.10418,0,9,1,0,995,846.0,4,1
88,1365.082978,0,8,1,1,0,0.0,0,1
89,25754.34647,0,0,1,0,0,0.0,0,1
90,44646.97264,0,8,0,0,959,386.0,3,1
91,18829.22614,0,8,0,0,0,0.0,0,1
92,2335.552077,0,0,1,1,593,413.0,8,1
93,26131.9843,0,7,1,1,0,0.0,0,1
94,8593.319203,0,6,0,0,931,889.0,3,1
95,32297.25639,0,3,1,1,0,0.0,0,1
96,9746.273241,0,0,1,0,739,182.0,8,1
97,46974.26042,0,8,1,1,0,0.0,0,1
98,35941.06769,0,0,1,1,0,0.0,0,1
99,22968.83569,0,0,1,1,0,0.0,0,1
100,429.3430618,0,8,0,0,0,0.0,0,1
101,904.1516398,0,7,1,1,0,0.0,0,1
102,24298.60569,0,3,1,1,0,0.0,0,1
103,19724.31058,0,7,1,1,0,0.0,0,1
104,21754.18804,0,0,1,1,0,0.0,0,1
105,37414.54867,0,2,1,1,0,0.0,0,1
106,3868.774536,0,0,1,1,0,0.0,0,1
107,2187.166426,0,7,0,0,0,0.0,0,1
108,41654.95372,0,8,0,0,931,415.0,9,1
109,33170.20285,0,0,1,1,0,0.0,0,1
110,24119.76528,0,0,1,0,0,0.0,0,1
111,14297.81445,0,7,0,0,0,0.0,0,1
112,25263.1758,0,7,0,0,0,0.0,0,1
113,2935.977252,0,0,0,0,993,992.0,7,1
114,1521.109631,0,5,1,1,0,0.0,0,1
115,3455.735833,0,7,1,0,0,0.0,0,1
116,18912.11362,0,0,1,0,0,0.0,0,1
117,46035.33636,0,0,0,0,475,244.0,4,1
118,39774.31547,0,7,0,0,0,0.0,0,1
119,27508.75854,0,9,1,0,0,0.0,0,1
120,31228.66577,0,0,1,0,0,0.0,0,1
121,16457.63018,0,0,1,1,0,0.0,0,1
122,6060.781714,0,0,1,0,0,0.0,0,1
123,39487.05127,0,8,1,1,0,0.0,0,1
124,41671.40658,0,5,1,1,0,0.0,0,1
125,11160.3242,0,7,0,0,982,350.0,1,1
126,16216.31878,0,0,0,0,991,914.0,7,1
127,14924.84952,0,0,1,1,0,0.0,0,1
128,778.4021301,0,3,1,1,0,0.0,0,1
129,50848.20441,0,0,1,0,0,0.0,0,1
130,11127.30347,0,0,1,1,0,0.0,0,1
131,15476.19029,0,6,1,0,0,0.0,0,1
132,32507.86462,0,0,0,0,707,571.0,7,1
133,14605.75196,0,9,1,1,0,0.0,0,1
134,29723.30592,0,9,1,1,0,0.0,0,1
135,3143.872075,0,4,1,1,0,0.0,0,1
136,25925.87813,0,0,1,1,0,0.0,0,1
137,44113.33625,0,2,1,1,0,0.0,0,1
138,35081.58671,0,8,1,0,0,0.0,0,1
139,47239.55311,0,9,0,0,0,0.0,0,1
140,33240.30626,0,9,1,0,0,0.0,0,1
141,14950.36498,0,2,1,1,0,0.0,0,1
142,14141.83617,0,8,0,0,0,0.0,0,1
143,3715.24796,0,0,0,0,916,704.0,9,1
144,14448.52885,0,0,1,1,0,0.0,0,1
145,50338.30212,0,2,1,1,0,0.0,0,1
146,29047.85614,0,7,0,0,0,0.0,0,1
147,40080.00063,0,3,1,1,0,0.0,0,1
148,1187.650458,0,8,0,0,0,0.0,0,1
149,25445.97723,0,9,0,0,0,0.0,0,1
150,9479.014393,0,8,1,0,0,0.0,0,1
151,1571.900662,0,0,1,1,0,0.0,0,1
152,36363.98968,0,0,1,0,0,0.0,0,1
153,1163.14679,0,9,1,1,0,0.0,0,1
154,42160.82011,0,0,0,0,577,367.0,7,1
155,51641.84407,0,0,1,1,667,548.0,7,1
156,20506.56011,0,8,0,0,695,228.0,9,1
157,7424.152604,0,7,0,0,0,0.0,0,1
158,14523.70228,0,0,1,1,0,0.0,0,1
159,6498.267564,0,7,0,0,0,0.0,0,1
160,9855.562356,0,9,1,1,0,0.0,0,1
161,13201.10183,0,7,1,0,0,0.0,0,1
162,18378.41708,0,0,0,0,735,608.0,7,1
163,22310.98346,0,9,0,0,0,0.0,0,1
164,11105.3266,0,8,1,1,0,0.0,0,1
165,14298.6309,0,4,1,1,0,0.0,0,1
166,34041.237,0,0,1,1,0,0.0,0,1
167,28492.87793,0,8,1,1,0,0.0,0,1
168,56354.53925,0,5,1,1,0,0.0,0,1
169,17943.02186,0,7,1,1,0,0.0,0,1
170,2285.462325,0,0,1,1,0,0.0,0,1
171,37431.79458,0,2,1,1,0,0.0,0,1
172,33304.12828,0,0,1,1,0,0.0,0,1
173,37692.31596,0,6,1,0,0,0.0,0,1
174,35550.56886,0,8,1,0,0,0.0,0,1
175,29920.4001,0,6,1,0,0,0.0,0,1
176,18381.71071,0,0,1,0,835,715.0,7,1
177,17776.51312,0,8,1,0,0,0.0,0,1
178,14808.95592,0,4,1,1,0,0.0,0,1
179,274.1382978,0,3,1,1,0,0.0,0,1
180,7503.782725,0,6,0,0,901,524.0,8,1
181,4755.001633,0,4,1,0,0,0.0,0,1
182,45283.3542,0,3,1,1,0,0.0,0,1
183,37997.36743,0,7,1,1,0,0.0,0,1
184,21786.0454,0,9,0,0,0,0.0,0,1
185,48076.44392,0,0,0,0,955,816.0,8,1
186,5516.40308,0,6,0,0,900,300.0,4,1
187,16833.32245,0,9,0,0,0,0.0,0,1
188,37124.2992,0,9,1,1,0,0.0,0,1
189,23473.57162,0,0,1,0,0,0.0,0,1
190,34450.46309,0,0,1,1,0,0.0,0,1
191,29453.40601,0,2,1,1,0,0.0,0,1
192,8454.04023,0,0,1,1,0,0.0,0,1
193,31343.55033,0,2,1,1,0,0.0,0,1
194,26246.6617,0,9,1,1,0,0.0,0,1
195,23686.54796,0,6,1,1,0,0.0,0,1
196,5669.703776,0,7,1,1,0,0.0,0,1
197,15180.07996,0,0,1,1,0,0.0,0,1
198,30908.16389,0,2,1,1,0,0.0,0,1
199,29645.51068,0,6,1,0,0,0.0,0,1
200,3551.66483,0,0,1,1,0,0.0,0,1
201,36318.05225,0,0,1,1,0,0.0,0,1
202,30334.95059,0,4,1,1,0,0.0,0,1
203,31805.02998,0,0,1,1,0,0.0,0,1
204,25424.34841,0,1,0,0,403,391.0,4,1
205,3823.512914,0,0,1,1,0,0.0,0,1
206,24798.69446,0,9,0,0,0,0.0,0,1
207,38074.09232,0,0,0,0,996,996.0,6,1
208,34757.65068,0,7,1,1,0,0.0,0,1
209,12341.7221,0,0,1,1,0,0.0,0,1
210,39554.87753,0,0,1,1,0,0.0,0,1
211,46776.52272,0,8,1,0,0,0.0,0,1
212,8192.290286,0,4,1,1,0,0.0,0,1
213,15538.60832,0,8,0,0,954,339.0,6,1
214,14057.44885,0,8,1,1,0,0.0,0,1
215,24824.79038,0,7,0,0,0,0.0,0,1
216,28005.49914,0,5,1,0,0,0.0,0,1
217,16673.09159,0,0,0,0,917,633.0,6,1
218,19104.00315,0,5,1,0,0,0.0,0,1
219,15343.70642,0,8,1,1,0,0.0,0,1
220,28677.99234,0,5,1,1,0,0.0,0,1
221,13954.05111,0,0,1,1,0,0.0,0,1
222,33756.49235,0,5,1,0,0,0.0,0,1
223,26864.37228,0,0,0,0,502,441.0,7,1
224,8113.4543,0,9,0,0,0,0.0,0,1
225,30247.26121,0,0,0,0,894,883.0,8,1
226,50022.18742,0,2,1,1,0,0.0,0,1
227,17566.41338,0,0,1,0,833,761.0,7,1
228,24306.92825,0,0,0,0,377,319.0,7,1
229,35887.74824,0,0,1,1,0,0.0,0,1
230,42991.9004,0,3,1,0,0,0.0,0,1
231,23240.99786,0,8,0,0,614,235.0,1,1
232,34814.72075,0,0,1,1,0,0.0,0,1
233,52752.57907,0,0,0,0,786,737.0,9,1
234,25182.46647,0,0,0,0,939,931.0,1,1
235,5197.658395,0,5,1,1,0,0.0,0,1
236,14623.4476,0,3,1,0,0,0.0,0,1
237,18301.12279,0,1,1,1,0,0.0,0,1
238,22321.43892,0,0,1,0,0,0.0,0,1
239,294.3068417,0,4,1,1,0,0.0,0,1
240,10601.57613,0,0,1,1,0,0.0,0,1
241,1738.470502,0,0,1,0,0,0.0,0,1
242,16075.03246,0,8,1,0,0,0.0,0,1
243,30480.33889,0,7,0,0,0,0.0,0,1
244,35088.64924,0,5,1,0,0,0.0,0,1
245,45887.08366,0,0,0,0,487,393.0,9,1
246,20959.25946,0,9,1,1,0,0.0,0,1
247,5845.532163,0,8,0,0,0,0.0,0,1
248,27590.0246,0,0,0,0,802,399.0,6,1
249,1440.367527,0,0,0,0,183,101.0,9,1
250,10993.35898,0,0,0,0,942,891.0,6,1
251,46750.52496,0,0,1,1,0,0.0,0,1
252,4344.523638,0,0,1,1,0,0.0,0,1
253,26764.21501,0,9,1,0,0,0.0,0,1
254,5112.28863,0,5,1,1,0,0.0,0,1
255,29406.35528,0,0,1,1,0,0.0,0,1
256,13904.58622,0,5,1,1,0,0.0,0,1
257,6396.102405,0,9,1,1,0,0.0,0,1
258,41422.67834,0,3,1,1,0,0.0,0,1
259,46102.2192,0,8,0,0,0,0.0,0,1
260,22436.79651,0,0,0,0,985,685.0,1,1
261,19378.55562,0,5,1,0,527,339.0,8,1
262,37807.378,0,6,1,1,0,0.0,0,1
263,20529.45666,0,8,1,1,0,0.0,0,1
264,28304.06874,0,6,1,1,0,0.0,0,1
265,7312.819264,0,0,1,0,0,0.0,0,1
266,9945.816263,0,7,0,0,993,330.0,4,1
267,42984.92396,0,5,1,1,0,0.0,0,1
268,17111.01389,0,0,1,1,0,0.0,0,1
269,5538.121193,0,0,0,0,788,586.0,9,1
270,8293.057796,0,0,0,0,801,789.0,9,1
271,40386.73544,0,0,1,1,0,0.0,0,1
272,37191.29461,0,2,1,0,0,0.0,0,1
273,10893.60677,0,9,0,0,0,0.0,0,1
274,22581.19848,0,8,1,1,0,0.0,0,1
275,15306.94612,0,0,0,0,878,728.0,6,1
276,36057.6012,0,3,1,1,0,0.0,0,1
277,17913.14761,0,1,1,1,992,741.0,7,1
278,18996.98837,0,4,1,0,0,0.0,0,1
279,35018.70749,0,8,1,1,0,0.0,0,1
280,27817.95994,0,0,1,0,0,0.0,0,1
281,4102.719093,0,0,1,1,0,0.0,0,1
282,30670.36275,0,5,1,1,0,0.0,0,1
283,29158.45244,0,6,0,0,991,989.0,4,1
284,41042.60322,0,7,1,0,0,0.0,0,1
285,5898.14494,0,3,1,1,0,0.0,0,1
286,4525.189988,0,5,1,1,0,0.0,0,1
287,34163.48594,0,0,1,1,0,0.0,0,1
288,21638.89029,0,0,1,0,0,0.0,0,1
289,27640.68276,0,3,1,0,0,0.0,0,1
290,15555.94665,0,2,1,0,0,0.0,0,1
291,15291.35901,0,6,1,1,0,0.0,0,1
292,24844.49359,0,8,1,1,0,0.0,0,1
293,36126.20449,0,0,1,0,0,0.0,0,1
294,20786.46727,0,6,1,1,0,0.0,0,1
295,11273.12768,0,3,1,0,0,0.0,0,1
296,22000.29265,0,7,1,1,0,0.0,0,1
297,42338.04863,0,6,1,0,0,0.0,0,1
298,40075.11048,0,9,0,0,0,0.0,0,1
299,21794.15573,0,0,1,1,0,0.0,0,1
300,20687.47687,0,9,0,0,0,0.0,0,1
301,14772.10916,0,0,1,1,0,0.0,0,1
302,13074.61064,0,0,1,0,971,615.0,3,1
303,8261.357345,0,2,1,1,0,0.0,0,1
304,42395.49003,0,6,1,1,0,0.0,0,1
305,20930.2284,0,2,1,1,961,122.0,1,1
306,23569.09403,0,4,1,1,0,0.0,0,1
307,26337.76779,0,9,1,1,0,0.0,0,1
308,25808.88671,0,0,1,0,0,0.0,0,1
309,7327.740978,0,6,1,1,0,0.0,0,1
310,23440.02074,0,7,1,0,0,0.0,0,1
311,8783.186103,0,7,1,1,0,0.0,0,1
312,38922.34288,0,0,1,0,0,0.0,0,1
313,21143.86074,0,5,1,0,0,0.0,0,1
314,17784.7896,0,5,1,0,0,0.0,0,1
315,15909.19434,0,0,1,0,0,0.0,0,1
316,9835.226784,0,0,1,1,0,0.0,0,1
317,56214.37541,0,4,1,0,876,539.0,8,1
318,19040.38179,0,5,1,1,0,0.0,0,1
319,18761.97384,0,9,1,0,0,0.0,0,1
320,40463.06067,0,7,0,0,0,0.0,0,1
321,16232.43295,0,0,1,0,0,0.0,0,1
322,24977.34976,0,8,1,0,822,485.0,9,1
323,38167.54897,0,4,1,0,0,0.0,0,1
324,11456.81609,0,8,1,0,0,0.0,0,1
325,36867.66196,0,9,1,1,0,0.0,0,1
326,37818.34608,0,3,1,1,0,0.0,0,1
327,45489.95605,0,3,0,0,856,483.0,4,1
328,13397.38317,0,9,0,0,0,0.0,0,1
329,41141.93738,0,0,1,1,0,0.0,0,1
330,41878.07192,0,9,0,0,0,0.0,0,1
331,23362.98075,0,4,0,0,572,166.0,6,1
332,15757.18264,0,6,1,0,0,0.0,0,1
333,5174.520486,0,8,1,0,0,0.0,0,1
334,3413.441358,0,8,1,1,0,0.0,0,1
335,4572.281604,0,0,1,1,0,0.0,0,1
336,535.2441068,0,8,1,0,0,0.0,0,1
337,21313.97594,0,8,0,0,939,767.0,3,1
338,28771.45099,0,9,0,0,789,646.0,4,1
339,25527.07015,0,9,1,0,0,0.0,0,1
340,26919.12977,0,9,1,0,0,0.0,0,1
341,40432.60779,0,7,1,1,0,0.0,0,1
342,41416.22641,0,5,1,0,0,0.0,0,1
343,49079.90292,0,0,1,1,0,0.0,0,1
344,3850.295388,0,9,0,0,0,0.0,0,1
345,19820.34224,0,0,1,1,0,0.0,0,1
346,6245.578858,0,0,1,1,0,0.0,0,1
347,46115.65894,0,9,0,0,795,673.0,9,1
348,16101.35618,0,5,1,1,987,859.0,3,1
349,11865.91545,0,4,1,1,0,0.0,0,1
350,37580.84209,0,9,1,1,0,0.0,0,1
351,27774.26418,0,2,1,1,0,0.0,0,1
352,27480.54182,0,3,1,1,0,0.0,0,1
353,6623.659781,0,8,1,1,0,0.0,0,1
354,13542.34394,0,3,1,1,995,381.0,6,1
355,4487.199202,0,0,1,0,557,527.0,7,1
356,17586.06899,0,0,0,0,398,224.0,7,1
357,23611.79094,0,3,1,1,0,0.0,0,1
358,4334.009673,0,0,1,0,0,0.0,0,1
359,25537.20646,0,0,1,1,0,0.0,0,1
360,6582.892005,0,9,1,1,0,0.0,0,1
361,24313.98083,0,2,1,1,0,0.0,0,1
362,25756.53815,0,0,1,1,0,0.0,0,1
363,44290.1105,0,2,0,0,943,934.0,6,1
364,1651.428438,0,0,1,1,0,0.0,0,1
365,14392.05359,0,5,1,0,0,0.0,0,1
366,14689.37192,0,0,1,0,0,0.0,0,1
367,10065.12514,0,9,1,1,0,0.0,0,1
368,1814.812884,0,0,1,0,884,708.0,6,1
369,5373.748468,0,0,0,0,938,929.0,9,1
370,17882.53586,0,3,1,0,0,0.0,0,1
371,30682.1931,0,0,1,1,982,764.0,6,1
372,17495.00803,0,0,1,1,0,0.0,0,1
373,31416.35647,0,0,1,0,0,0.0,0,1
374,30106.1084,0,4,1,1,0,0.0,0,1
375,13539.44057,0,9,0,0,0,0.0,0,1
376,14430.01465,0,0,0,0,780,188.0,7,1
377,41642.89641,0,0,0,0,940,815.0,6,1
378,4728.798298,0,0,1,1,0,0.0,0,1
379,19798.21462,0,8,0,0,777,195.0,1,1
380,3212.679171,0,8,0,0,0,0.0,0,1
381,17548.46495,0,0,0,0,941,826.0,9,1
382,28223.4726,0,1,1,0,0,0.0,0,1
383,10482.78359,0,6,1,1,0,0.0,0,1
384,257.8991359,0,6,1,1,0,0.0,0,1
385,2333.439898,0,7,1,1,0,0.0,0,1
386,50154.15926,0,0,0,0,841,386.0,8,1
387,19911.24117,0,8,1,1,0,0.0,0,1
388,24424.39941,0,9,1,1,0,0.0,0,1
389,56491.81376,0,6,1,0,0,0.0,0,1
390,13227.59019,0,0,1,1,0,0.0,0,1
391,37080.36764,0,4,0,0,673,512.0,8,1
392,49957.77737,0,6,1,1,0,0.0,0,1
393,12862.32234,0,0,0,0,956,645.0,6,1
394,8694.811594,0,2,1,1,0,0.0,0,1
395,40757.56185,0,6,1,1,0,0.0,0,1
396,24667.38751,0,4,1,0,754,585.0,7,1
397,56000.0,1,1,1,0,754,585.0,7,1
398,54000.0,1,2,1,0,754,585.0,7,1
399,106000.0,0,3,1,0,754,585.0,7,1
400,28000.0,0,4,1,0,754,585.0,7,1
401,20000.0,0,5,1,0,754,585.0,7,1
402,15000.0,0,6,1,0,754,585.0,7,1
403,27000.0,1,0,1,0,754,585.0,7,1
404,34000.0,1,1,1,0,754,585.0,7,1
405,80000.0,1,2,1,0,754,585.0,7,1
406,108000.0,1,3,1,0,754,585.0,7,1
407,29000.0,1,4,1,0,754,585.0,7,1
408,23000.0,1,5,1,0,754,585.0,7,1
409,15300.0,1,6,1,0,754,585.0,7,1
410,61200.0,1,0,1,1,754,585.0,7,1
411,16200.0,1,1,1,1,754,585.0,7,1
412,7800.0,1,2,1,1,754,585.0,7,1
413,16500.0,1,0,0,0,754,585.0,7,1
414,19500.0,1,1,0,0,754,585.0,7,1
415,14000.0,1,2,0,0,754,585.0,7,1
416,17500.0,1,1,0,0,754,585.0,7,1
417,23000.0,0,2,0,0,754,585.0,7,1
418,24800.0,1,1,0,0,754,585.0,7,1
419,10400.0,1,2,0,0,754,585.0,7,1
420,10400.0,0,3,0,0,754,585.0,7,1
421,35200.0,1,1,0,0,754,585.0,7,1
422,14000.0,1,2,0,0,754,585.0,7,1
423,7800.0,0,3,0,0,754,585.0,7,1
424,31200.0,1,0,1,1,754,585.0,7,1
425,25900.0,1,1,1,1,754,585.0,7,1
426,40800.0,1,0,1,1,754,585.0,7,1
427,40000.0,1,1,1,1,754,585.0,7,1
428,12800.0,1,2,1,1,754,585.0,7,1
429,11600.0,0,3,1,1,754,585.0,7,1
430,54000.0,1,0,1,1,754,585.0,7,1
431,17400.0,1,1,1,1,754,585.0,7,1
432,15000.0,1,2,1,1,754,585.0,7,1
433,26500.0,1,4,0,0,754,585.0,7,1
434,22000.0,1,5,0,0,754,585.0,7,1
435,14000.0,1,6,0,0,754,585.0,7,1
436,29000.0,1,1,1,1,754,585.0,7,1
437,43000.0,1,2,1,1,754,585.0,7,1
438,25500.0,1,3,0,0,754,585.0,7,1
439,18000.0,1,4,0,0,754,585.0,7,1
440,16500.0,1,5,0,0,754,585.0,7,1
441,35000.0,1,1,1,1,754,585.0,7,1
442,49000.0,1,2,1,1,754,585.0,7,1
443,20500.0,1,0,0,0,754,585.0,7,1
444,13500.0,1,1,0,0,754,585.0,7,1
445,22500.0,1,2,0,0,754,585.0,7,1
446,3100.0,1,2,0,0,754,585.0,7,1
447,5300.0,1,2,0,0,754,585.0,7,1
448,5008.5,1,0,0,0,0,0.0,0,0
449,742.0,1,1,0,0,0,0.0,0,0
450,2411.5,1,2,0,0,0,0.0,0,0
451,3412.5,0,0,0,0,0,0.0,0,0
452,10875.0,0,0,0,0,0,0.0,0,0
453,4125.0,0,0,0,0,0,0.0,0,0
454,4125.0,0,0,0,0,0,0.0,0,0
455,17497.16852,0,0,0,0,0,0.0,0,0
456,7473.639588,0,0,0,0,0,0.0,0,0
457,697.1947817,0,0,1,0,530,438.0,1,0
458,13879.01856,0,6,0,0,0,0.0,0,0
459,1255.571455,0,0,0,0,0,0.0,0,0
460,1817.33856,0,0,0,0,0,0.0,0,0
461,3292.06864,0,0,1,0,0,0.0,0,0
462,18723.64144,0,0,0,0,0,0.0,0,0
463,24067.99451,0,0,0,0,0,0.0,0,0
464,2354.274913,0,0,0,0,0,0.0,0,0
465,11424.36802,0,0,1,0,0,0.0,0,0
466,537.2396194,0,1,0,0,0,0.0,0,0
467,801.4859808,0,0,0,0,0,0.0,0,0
468,6345.679007,0,0,0,0,0,0.0,0,0
469,5437.79545,0,0,0,0,0,0.0,0,0
470,6318.129841,0,0,0,0,0,0.0,0,0
471,6686.232379,0,4,1,0,0,0.0,0,0
472,15645.03543,0,0,0,0,0,0.0,0,0
473,14507.14623,0,0,1,0,0,0.0,0,0
474,15516.34483,0,0,1,0,918,781.0,2,0
